"1368","suggest"
"215","election"
"1592","picture"
"1794","perform"
"1664","fear"
"1873","family"
"356","citizen"
"322","every"
"516","represent"
"939","type"
"1547","more"
"292","how"
"1542","only"
"1306","degree"
"1383","computer"
"1467","step"
"769","run"
"1685","air"
"1692","treatment"
"550","room"
"154","prove"
"1974","have"
"10","act"
"948","war"
"1251","event"
"927","laugh"
"694","ball"
"670","hand"
"24","summer"
"800","teach"
"1513","inside"
"509","impact"
"1064","third"
"253","response"
"1275","report"
"596","why"
"687","drug"
"357","main"
"1070","lose"
"1823","general"
"1776","kitchen"
"84","apply"
"475","analysis"
"261","value"
"1831","body"
"1630","imagine"
"1007","season"
"1831","college"
"84","letter"
"861","job"
"661","girl"
"405","news"
"1485","sign"
"1247","stock"
"379","near"
"1847","pattern"
"879","civil"
"1896","establish"
"241","type"
"657","for"
"183","all"
"33","man"
"1321","race"
"740","eight"
"1922","their"
"1103","material"
"299","his"
"406","energy"
"1647","billion"
"1364","choose"
"1698","difference"
"1396","long"
"727","law"
"1076","answer"
"731","offer"
"1615","million"
"1818","fact"
"252","ball"
"1838","join"
"1051","understand"
"1391","drive"
"33","about"
"1680","become"
"94","character"
"1592","star"
"468","fact"
"1466","public"
"1052","radio"
"1862","because"
"1063","cup"
"1227","always"
"907","kid"
"1515","foot"
"739","watch"
"1584","job"
"1737","speech"
"183","bit"
"1257","student"
"909","system"
"1048","see"
"1079","a"
"573","cut"
"1266","approach"
"817","agent"
"536","degree"
"451","several"
"1226","modern"
"277","perform"
"1604","somebody"
"1019","central"
"1403","particular"
"1568","necessary"
"831","character"
"1069","must"
"1277","space"
"1042","civil"
"1305","appear"
"1969","perform"
"133","like"
"1654","citizen"
"1630","east"
"1297","each"
"141","hot"
"801","follow"
"1433","only"
"549","protect"
"405","science"
"1460","reach"
"1872","than"
"837","look"
"791","food"
"813","like"
"29","city"
"942","everybody"
"950","save"
"855","trial"
"1801","discover"
"1826","yes"
"1593","actually"
"1313","low"
"1419","collection"
"1357","citizen"
"322","direction"
"428","against"
"1345","direction"
"1637","guess"
"244","future"
"960","determine"
"1838","rich"
"20","smile"
"370","risk"
"890","fish"
"910","plant"
"254","claim"
"695","game"
"115","someone"
"679","peace"
"916","action"
"1697","investment"
"237","get"
"790","pay"
"567","value"
"1952","stop"
"263","voice"
"1612","same"
"1594","wall"
"1172","reason"
"588","simply"
"1886","deal"
"331","government"
"542","all"
"113","garden"
"197","machine"
"847","wide"
"1932","finally"
"1203","include"
"240","recent"
"366","behind"
"367","finish"
"1214","hand"
"1060","his"
"538","will"
"1930","himself"
"231","instead"
"1981","center"
"711","financial"
"484","all"
"1371","improve"
"262","national"
"1960","run"
"1085","guess"
"293","garden"
"1862","ready"
"518","third"
"730","technology"
"1675","their"
"321","suffer"
"466","employee"
"1884","give"
"162","middle"
"1524","hope"
"1543","society"
"90","threat"
"1599","follow"
"1074","somebody"
"811","fall"
"571","husband"
"582","factor"
"1721","even"
"83","set"
"762","understand"
"1481","present"
"238","lot"
"1864","condition"
"71","imagine"
"1830","member"
"749","race"
"270","meet"
"14","these"
"1993","technology"
"1546","other"
"1855","throw"
"277","pay"
"1458","not"
"322","force"
"1439","second"
"1879","whole"
"108","trouble"
"1819","be"
"835","speech"
"1026","compare"
"1876","hospital"
"768","knowledge"
"1778","evening"
"1237","president"
"654","national"
"1924","wonder"
"1243","some"
"1623","tonight"
"1901","ask"
"192","wide"
"170","professional"
"1654","budget"
"1466","coach"
"1941","director"
"120","while"
"1910","they"
"876","home"
"1682","light"
"834","thought"
"1302","fly"
"635","least"
"775","necessary"
"1911","see"
"1571","as"
"1363","daughter"
"1814","price"
"299","without"
"50","sing"
"1270","us"
"1336","age"
"756","from"
"503","represent"
"191","behavior"
"1849","about"
"504","American"
"949","daughter"
"958","product"
"794","respond"
"798","poor"
"1785","argue"
"1926","arm"
"706","you"
"886","indicate"
"1567","raise"
"846","should"
"1145","allow"
"642","remember"
"1056","buy"
"1233","room"
"1674","receive"
"1745","front"
"391","success"
"1719","less"
"516","to"
"284","hope"
"1034","police"
"1031","official"
"297","account"
"1096","sometimes"
"139","improve"
"468","letter"
"695","morning"
"1053","season"
"522","leave"
"336","group"
"827","tree"
"271","military"
"1162","same"
"66","grow"
"78","executive"
"1220","grow"
"1545","team"
"804","wonder"
"755","strong"
"933","spend"
"1155","season"
"754","group"
"1036","lot"
"54","reach"
"1206","morning"
"201","under"
"0","these"
"586","line"
"228","different"
"827","factor"
"896","table"
"1044","mission"
"1464","customer"
"1014","morning"
"1828","work"
"524","green"
"303","save"
"1064","bed"
"175","computer"
"843","you"
"1376","amount"
"1407","remain"
"579","quite"
"719","art"
"593","food"
"401","teacher"
"1467","western"
"1175","material"
"176","science"
"1021","yourself"
"1076","low"
"755","station"
"346","action"
"1798","three"
"776","property"
"1198","could"
"377","eat"
"1129","against"
"268","north"
"1274","American"
"1077","condition"
"360","term"
"1213","set"
"637","moment"
"795","south"
"513","either"
"1079","miss"
"989","office"
