"1965","36","80"
"225","62","100"
"1728","58","7"
"1423","13","67"
"1478","32","9"
"516","55","83"
"1750","32","3"
"1841","59","36"
"293","67","52"
"1678","38","65"
"882","13","12"
"244","14","17"
"852","13","13"
"1324","32","61"
"1543","16","7"
"1981","61","35"
"487","61","49"
"1404","61","47"
"302","59","18"
"1267","61","93"
"842","12","59"
"818","59","13"
"866","39","24"
"416","36","8"
"1162","32","50"
"57","13","13"
"15","14","95"
"1898","39","58"
"789","67","79"
"1833","36","32"
"1445","30","99"
"808","26","31"
"1742","32","36"
"1416","36","93"
"117","16","10"
"986","16","99"
"1849","71","74"
"1116","77","44"
"553","67","1"
"829","71","71"
"1744","24","57"
"904","62","11"
"418","12","66"
"778","41","88"
"313","16","96"
"1510","26","72"
"1572","41","24"
"630","38","53"
"148","11","15"
"1953","62","57"
"183","66","97"
"963","11","49"
"568","35","9"
"1942","61","91"
"485","71","87"
"160","26","14"
"387","67","100"
"1168","58","25"
"1084","55","77"
"935","59","56"
"662","35","0"
"1975","32","87"
"1588","58","64"
"45","71","62"
"1962","55","62"
"1716","39","39"
"1513","59","36"
"1061","11","0"
"1034","66","39"
"1578","61","31"
"1929","26","90"
"1025","61","88"
"1518","16","1"
"847","38","60"
"729","71","50"
"109","14","63"
"776","38","20"
"857","13","76"
"1352","35","38"
"944","71","32"
"164","16","100"
"1791","32","67"
"1825","14","18"
"440","38","65"
"196","66","66"
"39","36","0"
"192","13","74"
"258","67","48"
"150","26","84"
"357","16","40"
"128","39","17"
"125","70","29"
"544","58","71"
"264","36","19"
"1463","85","12"
"1781","26","32"
"1854","85","39"
"1639","32","39"
"962","13","49"
"1209","13","35"
"1681","77","37"
"1243","11","34"
"1587","61","52"
"1146","39","13"
"260","77","82"
"1791","61","36"
"1938","55","24"
"257","58","66"
"52","32","45"
"1608","41","97"
"575","62","32"
"264","13","26"
"657","55","31"
"949","58","64"
"656","58","39"
"1653","38","51"
"1948","41","6"
"1101","59","73"
"439","85","80"
"1074","30","88"
"1378","55","42"
"1137","66","5"
"1765","61","43"
"200","70","10"
"49","32","41"
"950","39","79"
"182","36","93"
"611","61","96"
"782","13","48"
"1927","71","80"
"462","55","30"
"1432","38","71"
"1648","30","66"
"757","77","71"
"471","59","49"
"1558","14","31"
"930","14","65"
"1061","30","8"
"632","30","97"
"816","12","62"
"163","41","96"
"641","58","58"
"810","55","96"
"671","13","73"
"1984","11","96"
"1382","14","6"
"1889","36","16"
"1330","41","36"
"286","55","17"
"1395","59","92"
"1741","36","55"
"1264","62","0"
"1222","26","84"
"771","11","35"
"626","58","91"
"1511","62","30"
"1514","41","7"
"927","39","60"
"723","59","68"
"1802","55","16"
"466","62","46"
"1741","41","12"
"349","61","30"
"1544","70","14"
"312","55","66"
"1954","55","28"
"673","59","92"
"1523","36","31"
"1611","11","36"
"920","38","60"
"1616","16","38"
"1306","16","17"
"813","13","41"
"1796","77","98"
"1560","67","34"
"318","13","6"
"852","36","48"
"594","14","79"
"1566","36","35"
"426","35","10"
"1045","41","30"
"58","58","63"
"1127","70","18"
"1850","11","73"
"467","41","6"
"1935","36","21"
"211","55","74"
"1996","12","28"
"448","67","33"
"1815","67","36"
"960","26","84"
"207","32","38"
"1372","66","68"
"1142","41","87"
"48","59","29"
"722","67","31"
"610","26","69"
"352","70","53"
"1340","38","80"
"1512","77","47"
"1155","77","64"
"238","85","2"
"174","70","29"
"1135","85","87"
"1332","39","73"
"1994","24","50"
"1335","30","19"
"456","85","71"
"50","66","87"
"926","70","55"
"442","77","95"
"1152","59","79"
"952","62","14"
"127","41","36"
"1231","62","73"
"514","16","34"
"433","85","52"
"1027","12","87"
"182","16","76"
"715","41","46"
"330","39","29"
"1784","77","37"
"1061","85","10"
"1859","35","23"
"194","16","5"
"471","26","59"
"1510","58","89"
"1877","36","57"
"1615","67","48"
"812","62","66"
"1598","41","16"
"185","62","94"
"38","16","55"
"490","24","24"
"1063","14","61"
"1065","59","16"
"1385","14","31"
"1333","13","14"
"728","61","68"
"996","61","61"
"1144","14","81"
"274","85","0"
"1897","11","47"
"1606","67","60"
"1797","41","72"
"400","62","42"
"694","13","92"
"1997","38","2"
"1514","12","55"
"1268","35","41"
"682","12","16"
"887","85","15"
"299","85","69"
"935","38","94"
"1891","24","50"
"1146","85","37"
"889","24","57"
"1181","30","55"
"1677","38","21"
"139","38","4"
"1632","36","25"
"943","24","92"
"1800","58","72"
