"0","66","1083","2","4.64","2022-05-10 21:36:00"
"1","13","30","1","390.87","2021-01-04 19:23:57"
"2","24","118","3","433.03","2020-01-25 05:58:47"
"3","11","797","1","302.22","2038-01-19 03:14:07"
"4","11","1851","4","497.92","2020-05-22 23:17:14"
"5","38","1403","1","241.52","2020-07-24 10:45:33"
"6","70","1408","1","171.77","2021-02-14 06:47:17"
"7","11","1043","5","385.60","2022-05-12 08:54:21"
"8","58","1833","3","121.74","2021-08-08 07:47:21"
"9","14","353","5","433.93","2021-07-18 09:58:04"
"10","66","1304","1","372.54","2022-04-26 19:25:13"
"11","35","1397","4","246.63","2021-11-08 23:25:53"
"12","70","1440","3","346.32","2021-10-28 02:14:44"
"13","71","1337","3","106.06","2020-07-05 02:29:17"
"14","11","656","3","170.69","2021-08-15 19:21:00"
"15","38","1993","4","181.41","2021-01-06 05:39:45"
"16","67","741","1","348.68","2038-01-19 03:14:07"
"17","70","1658","5","463.21","2021-03-11 23:20:08"
"18","26","403","1","453.42","2038-01-19 03:14:07"
"19","58","1574","5","245.91","2021-03-05 15:15:03"
"20","26","826","1","461.03","2021-03-28 12:41:14"
"21","70","1198","5","98.70","2021-06-09 17:14:18"
"22","41","1842","1","479.89","2021-06-27 07:09:30"
"23","41","721","3","51.77","2020-07-11 06:30:06"
"24","71","1513","5","25.24","2021-03-22 12:28:09"
"25","32","151","4","381.20","2021-03-01 14:05:08"
"26","32","630","3","432.34","2020-01-23 12:11:53"
"27","13","394","4","70.61","2021-06-03 20:26:47"
"28","71","371","4","348.85","2022-05-29 01:00:27"
"29","59","1552","2","258.56","2020-08-29 23:19:47"
"30","30","634","5","460.76","2021-06-20 15:37:02"
"31","14","1805","4","442.01","2038-01-19 03:14:07"
"32","30","530","1","273.13","2020-05-05 19:06:36"
"33","32","1109","2","109.31","2020-06-18 23:26:25"
"34","61","698","2","303.63","2022-05-13 17:28:20"
"35","14","1498","3","14.04","2021-12-11 08:44:34"
"36","35","1096","2","234.37","2022-05-29 16:20:28"
"37","66","1749","4","241.27","2038-01-19 03:14:07"
"38","59","418","4","131.90","2020-03-13 07:51:35"
"39","38","763","2","232.53","2021-02-08 01:50:05"
"40","12","925","2","112.31","2022-06-20 08:30:50"
"41","13","795","1","173.84","2038-01-19 03:14:07"
"42","38","1530","1","72.15","2038-01-19 03:14:07"
"43","14","815","4","28.39","2020-12-07 06:20:10"
"44","36","473","2","89.39","2020-03-10 02:04:11"
"45","85","161","1","195.23","2021-06-26 20:33:08"
"46","85","310","4","383.03","2020-12-10 19:23:36"
"47","59","1979","4","76.70","2021-06-22 19:21:58"
"48","24","744","2","394.88","2020-07-11 08:13:57"
"49","35","1536","5","296.42","2021-06-15 14:12:26"
"50","39","1593","4","18.98","2021-10-21 01:09:22"
"51","16","1791","3","292.05","2038-01-19 03:14:07"
"52","32","1627","4","284.49","2021-09-11 09:16:42"
"53","66","966","2","332.20","2022-01-07 15:34:38"
"54","14","1185","2","76.52","2021-08-09 07:24:32"
"55","30","1655","2","468.57","2038-01-19 03:14:07"
"56","55","1972","4","488.14","2020-02-22 17:34:31"
"57","66","1996","5","18.95","2022-01-04 09:40:48"
"58","77","265","3","100.83","2038-01-19 03:14:07"
"59","13","783","5","382.66","2021-08-04 00:56:39"
"60","39","1104","5","226.89","2022-06-18 21:34:53"
"61","41","722","5","400.82","2021-05-18 04:12:53"
"62","35","1185","2","76.52","2022-06-04 11:16:34"
"63","59","39","5","137.92","2022-06-02 11:05:40"
"64","59","711","4","420.62","2022-06-09 17:41:59"
"65","55","502","3","485.05","2038-01-19 03:14:07"
"66","24","3","1","153.07","2021-04-20 08:45:45"
"67","38","353","4","433.93","2038-01-19 03:14:07"
"68","26","1708","2","31.93","2020-10-11 15:59:00"
"69","41","596","5","407.62","2038-01-19 03:14:07"
"70","71","1298","5","399.08","2020-03-09 06:03:38"
"71","26","1583","3","12.31","2020-03-01 11:04:10"
"72","38","1462","3","313.38","2020-11-08 16:12:36"
"73","67","597","3","154.12","2020-05-29 03:29:08"
"74","13","177","5","475.39","2022-05-17 11:19:13"
"75","67","1400","1","384.56","2022-02-27 01:31:52"
"76","11","689","1","476.48","2021-01-22 01:59:47"
"77","41","897","4","282.72","2021-02-15 04:35:15"
"78","41","1943","3","42.44","2020-08-27 09:26:37"
"79","30","434","4","83.24","2020-05-27 00:41:01"
"80","85","1707","2","315.79","2021-09-13 22:40:24"
"81","30","973","4","160.15","2021-01-09 05:15:26"
"82","77","661","1","109.36","2038-01-19 03:14:07"
"83","67","620","1","209.61","2020-09-10 14:25:15"
"84","59","442","4","470.42","2020-09-02 06:31:38"
"85","59","1692","4","405.49","2021-03-25 12:08:22"
"86","77","1483","3","378.41","2021-01-18 10:52:40"
"87","13","1030","3","388.85","2038-01-19 03:14:07"
"88","58","1210","2","364.75","2021-11-18 01:18:08"
"89","58","491","2","1.91","2020-07-12 22:58:02"
"90","55","1705","5","7.08","2020-12-24 02:57:40"
"91","14","607","3","495.31","2020-01-03 23:55:41"
"92","13","789","4","18.54","2022-01-30 02:50:40"
